dish_name,meal_class_code,slot_group,method,confidence
Aab Gosht,LD_MUTTON_SUNDAY_CURRY,Lunch/Dinner,chef_rubric,0.753
Aam Doi,SN_SWEET_REGIONAL,Snack,chef_rubric,0.313
Aam Shrikhand,LD_GUJARATI_THALI,Lunch/Dinner,chef_rubric,0.408
Aamat,LD_LEAFY_GREENS_SAAG,Lunch/Dinner,chef_rubric,0.55
Aamras,LD_MAHARASHTRIAN_PITLA_BHAKRI,Lunch/Dinner,chef_rubric,0.408
Aamras (Maharashtrian),LD_MAHARASHTRIAN_PITLA_BHAKRI,Lunch/Dinner,chef_rubric,0.408
Aamti (Kokum),LD_DAL_RICE_COMFORT,Lunch/Dinner,chef_rubric,0.313
Achari Gosht,LD_MUTTON_SUNDAY_CURRY,Lunch/Dinner,chef_rubric,0.819
Achari Paneer,LD_PANEER_HOME_DRY,Lunch/Dinner,chef_rubric,0.91
Affogato,SN_SWEET_REGIONAL,Snack,chef_rubric,0.313
Akki Rotti,BF_STUFFED_FLATBREAD,Breakfast,chef_rubric,0.313
Aktori,BF_STUFFED_FLATBREAD,Breakfast,chef_rubric,0.313
Akuri,BF_EGG_FAST,Breakfast,curated_exact,1.0
Aloo Bonda,SN_SOUTH_TIFFIN_SNACK,Snack,chef_rubric,0.838
Aloo Chaat,SN_STREET_CHAAT,Snack,chef_rubric,0.91
Aloo Chhole,LD_SEMI_GRAVY_VEG,Lunch/Dinner,chef_rubric,0.716
Aloo Dum (Bengali),LD_SEMI_GRAVY_VEG,Lunch/Dinner,chef_rubric,0.9
Aloo Gobhi,LD_LEAFY_GREENS_SAAG,Lunch/Dinner,chef_rubric,0.716
Aloo Paratha,BF_STUFFED_FLATBREAD,Breakfast,chef_rubric,0.834
Aloo Pitika,LD_LEAFY_GREENS_SAAG,Lunch/Dinner,chef_rubric,0.67
Aloo Posto,LD_ROOT_TUBER_SABZI,Lunch/Dinner,curated_exact,1.0
Aloo Puri,BF_PLAIN_FLATBREAD_SUBZI,Breakfast,chef_rubric,0.716
Aloo Sabzi (Delhi style),LD_RAJASTHANI_DAL_BAATI,Lunch/Dinner,chef_rubric,0.884
Aloo Tikki,SN_STREET_CHAAT,Snack,chef_rubric,0.908
Ambot Tik,LD_FISH_CURRY_RICE,Lunch/Dinner,chef_rubric,0.883
American Chop Suey,LD_SIMPLE_GREEN_VEG_SABZI,Lunch/Dinner,chef_rubric,0.72
Amritsari Fish Fry,LD_FISH_FRY_MEAL,Lunch/Dinner,chef_rubric,0.922
Amti,LD_DAL_RICE_COMFORT,Lunch/Dinner,chef_rubric,0.313
Andhra Chicken Curry,LD_CHICKEN_HOME_CURRY,Lunch/Dinner,chef_rubric,0.974
Andhra Prawn Fry,LD_PRAWN_CRAB_COASTAL,Lunch/Dinner,chef_rubric,0.971
Angakar Roti,LD_DAL_ROTI_SABZI,Lunch/Dinner,chef_rubric,0.74
Anishi Curry,LD_NORTHEAST_VEG_STEAMED,Lunch/Dinner,chef_rubric,0.667
Appam,BF_FERMENTED_CREPE_PAN,Breakfast,curated_exact,1.0
Appam with Stew,LD_COCONUT_VEG_STEW,Lunch/Dinner,chef_rubric,0.83
Arancini,SN_NAMKEEN_CHIVDA,Snack,chef_rubric,0.313
Ariselu,SN_SWEET_REGIONAL,Snack,chef_rubric,0.408
Athirasam,SN_SWEET_REGIONAL,Snack,chef_rubric,0.408
Avial,LD_COCONUT_VEG_STEW,Lunch/Dinner,curated_exact,1.0
Avial (Kerala),LD_COCONUT_VEG_STEW,Lunch/Dinner,curated_exact,1.0
Axone Chutney,LD_NORTHEAST_VEG_STEAMED,Lunch/Dinner,chef_rubric,0.792
Baati Chokha,LD_RAJASTHANI_DAL_BAATI,Lunch/Dinner,chef_rubric,0.838
Baba Ganoush,LD_SIMPLE_GREEN_VEG_SABZI,Lunch/Dinner,chef_rubric,0.313
Babru,BF_STUFFED_FLATBREAD,Breakfast,chef_rubric,0.408
Baby Corn Manchurian,SN_FRIED_PAKORA_SAMOSA,Snack,chef_rubric,0.608
Bagara Baingan,LD_SEMI_GRAVY_VEG,Lunch/Dinner,curated_exact,1.0
Bagara Khana,LD_WEEKEND_SPECIAL_REGIONAL,Lunch/Dinner,chef_rubric,0.811
Bai,LD_DAL_ROTI_SABZI,Lunch/Dinner,chef_rubric,0.675
Baida Roti,BF_PLAIN_FLATBREAD_SUBZI,Breakfast,chef_rubric,0.674
Baingan Bharta,LD_SEMI_GRAVY_VEG,Lunch/Dinner,curated_exact,1.0
Bajra Khichdi,BF_MILLET_TRADITIONAL,Breakfast,curated_exact,1.0
Bajra Roti,LD_RAJASTHANI_DAL_BAATI,Lunch/Dinner,chef_rubric,0.966
Bajra Roti (Rajasthani),LD_RAJASTHANI_DAL_BAATI,Lunch/Dinner,chef_rubric,0.966
Bal Mithai,SN_SWEET_REGIONAL,Snack,chef_rubric,0.408
Balushahi,SN_STREET_CHAAT,Snack,chef_rubric,0.313
Banana Chips,SN_FRIED_PAKORA_SAMOSA,Snack,chef_rubric,0.904
Banarasi Chaat,SN_STREET_CHAAT,Snack,chef_rubric,0.726
Banarasi Thandai,SN_TEA_BISCUIT_RUSK,Snack,chef_rubric,0.408
