dish_name,meal_class_code,match_method
Aam Shrikhand,SN_SWEET_REGIONAL,unanimous_token_agreement
Aloo Bonda,SN_SOUTH_TIFFIN_SNACK,unanimous_token_agreement
Aloo Chaat,SN_STREET_CHAAT,unanimous_token_agreement
Aloo Puri,LD_FASTING_MAIN,unanimous_token_agreement
Aloo Sabzi (Delhi style),BF_PLAIN_FLATBREAD_SUBZI,unanimous_token_agreement
Aloo Tikki,SN_STREET_CHAAT,unanimous_token_agreement
Appam with Stew,BF_FERMENTED_CREPE_PAN,unanimous_token_agreement
Bai,LD_NORTHEAST_SMOKED_PORK_MEAT,unanimous_token_agreement
Begun Bhaja,LD_BENGALI_VEG_DAL_BHAAT,unanimous_token_agreement
Bisi Bele Bath Mix Veg,LD_WEEKEND_SPECIAL_REGIONAL,unanimous_token_agreement
Boiled Egg Chaat,SN_EGG_SNACK,unanimous_token_agreement
Burmese Samosa Soup,SN_FRIED_PAKORA_SAMOSA,unanimous_token_agreement
Chaat Papdi,SN_STREET_CHAAT,unanimous_token_agreement
Chai,SN_TEA_BISCUIT_RUSK,unanimous_token_agreement
Chicken Chettinad,LD_CHICKEN_HOME_CURRY,unanimous_token_agreement
Chicken Ghee Roast,LD_CHICKEN_DRY_FRY,unanimous_token_agreement
Chicken Korma,LD_CHICKEN_HOME_CURRY,unanimous_token_agreement
Chicken Korma (Mughlai),LD_CHICKEN_HOME_CURRY,unanimous_token_agreement
Chicken Malai Tikka,SN_NONVEG_SNACK,unanimous_token_agreement
Chilli Paneer,LD_INDO_CHINESE_MEAL,unanimous_token_agreement
Churma,LD_RAJASTHANI_DAL_BAATI,unanimous_token_agreement
Dal Baati,LD_RAJASTHANI_DAL_BAATI,unanimous_token_agreement
Egg Drop Soup,LD_RECOVERY_SOFT_PROTEIN,unanimous_token_agreement
Egg Roll,SN_EGG_SNACK,unanimous_token_agreement
Eromba,LD_NORTHEAST_SMOKED_PORK_MEAT,unanimous_token_agreement
Fried Momos,SN_NORTHEAST_SNACK,unanimous_token_agreement
Gongura Pachadi,LD_LEAFY_GREENS_SAAG,unanimous_token_agreement
Grilled Chicken,LD_TANDOORI_GRILL_NONVEG,unanimous_token_agreement
